url,id,cyclomatic_complexity,conditional_statements,physical_lines,non_blank_lines,lines_of_code,statements,if_statements,switch_statements,case_labels,ternary_expressions,loops,catch_clauses,boolean_operators,max_nesting_depth,method_calls,return_statements,throw_statements,break_continue,variable_declarations,distinct_variables,field_variables,parameter_variables,local_variables,unresolved_names,ast_nodes
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/writer/imageio/ImageIOTIFFImageWriter.java#L109-L119,apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageIOTIFFImageWriter-L109_L119,2,1,11,7,7,5,1,0,0,0,0,0,0,1,1,0,0,0,2,7,2,2,3,1,57
https://github.com/pingcap/tidb-loadbalance/blob/b1d62a4561fee7c525ae4c640a10f55c4702755b/src/main/java/com/tidb/jdbc/LoadBalancingDriver.java#L372-L381,pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-LoadBalancingDriver-L372_L381,3,2,10,10,10,6,2,0,0,0,0,0,0,1,7,0,2,0,1,7,1,1,5,0,76
https://github.com/apache/sling-org-apache-sling-servlets-resolver/blob/75e62e657fc0b2dbbc90287cba23a24116152fce/src/main/java/org/apache/sling/servlets/resolver/internal/helper/NamedScriptResourceCollector.java#L95-L115,apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-NamedScriptResourceCollector-L95_L115,5,4,21,21,19,14,4,0,0,0,0,0,0,3,10,0,0,0,5,8,1,2,5,3,159
https://github.com/ThreeTen/threetenbp/blob/bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341/src/main/java/org/threeten/bp/LocalTime.java#L913-L919,ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-LocalTime-L913_L919,3,2,7,7,7,5,2,0,0,0,0,0,0,1,2,0,2,0,1,4,2,0,2,0,38
https://github.com/apache/sling-org-apache-sling-servlets-resolver/blob/75e62e657fc0b2dbbc90287cba23a24116152fce/src/main/java/org/apache/sling/servlets/resolver/internal/resource/ServletMounter.java#L310-L334,apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-ServletMounter-L310_L334,8,2,25,23,22,13,2,0,0,0,1,2,2,4,9,0,0,0,2,9,4,2,3,1,134
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/gif/GifImageParser.java#L507-L539,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-GifImageParser-L507_L539,8,5,33,27,26,18,5,0,0,0,2,0,0,2,4,0,1,4,6,10,2,0,8,1,198
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoGpsText.java#L81-L98,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-TagInfoGpsText-L81_L98,3,2,18,18,16,13,2,0,0,0,0,0,0,1,8,1,0,0,4,10,3,1,6,3,177
https://github.com/ThreeTen/threetenbp/blob/bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341/src/main/java/org/threeten/bp/Period.java#L214-L234,ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-Period-L214_L234,7,5,21,21,21,16,5,0,0,0,1,0,0,4,8,0,2,0,5,6,0,1,5,3,147
https://github.com/3redronin/mu-server/blob/69683cf8009d7a0ac52452fd4b0abe06ffd0bf87/src/main/java/io/muserver/ParameterizedHeader.java#L170-L177,3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-ParameterizedHeader-L170_L177,3,2,8,8,8,6,2,0,0,0,0,0,0,1,8,0,0,0,1,3,0,0,3,1,53
https://github.com/fabric8io/docker-maven-plugin/blob/40371e754a6f3122af6d3019508c364627580935/src/main/java/io/fabric8/maven/docker/util/ImageName.java#L123-L129,fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-ImageName-L123_L129,3,1,7,7,7,5,1,0,0,0,1,0,0,2,3,1,0,0,1,3,0,1,2,0,49
