project,parallel_core,parallel_generation,parallel_reduction,parallel_before_tests,parallel_after_tests,coverage_core,coverage_generation,coverage_reduction,coverage_before_tests,coverage_after_tests,mutation_core,mutation_generation,mutation_reduction,mutation_before_tests,mutation_after_tests
narupley-not-going-to-be-commons-ssl-346bb4e8481316687a643219800a398ecd8f62a8-PKCS8Key-L659_L695,3492,1242169,95902,78,15,2588,2062646,61,64,6,6698,393326,87037,16,3
Neop-mudmap2-070650853bc37663525f0d62fb54a029e364eafd-WorldFileJSON-L347_L362,3668,1001869,49019,28,25,2500,1785201,51,13,2,6031,363396,47608,12,2
nothingax-micro-DB-1bbae368f7670f94130606fa65bcbc8ccbb89b98-Aggregate-L74_L81,2635,1216999,39053,222,10,2012,147920,21,5,2,7161,214467,25281,8,2
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L4311_L4320,3035,983538,41411,16,11,2351,1913838,48,21,2,7905,552579,41154,15,2
openskynetwork-java-adsb-7d73726841d98357da360ea631bbe12d3def86cc-ModeSDecoder-L146_L152,2490,1256121,49151,32,31,1970,1747239,55,32,2,5379,475260,46476,14,1
OWASP-json-sanitizer-fc612ab374de73d03864d56fb87b6a103b234489-JsonSanitizer-L342_L350,2972,979723,110965,339,16,2255,1510216,60,335,2,5965,384581,66751,128,2
OWASP-json-sanitizer-fc612ab374de73d03864d56fb87b6a103b234489-JsonSanitizer-L353_L362,2927,1099144,188947,287,22,2245,150471,28,56,3,5984,630642,164518,182,7
package-url-packageurl-java-47351deccffb9394df42b913f59ffc00741af0b6-PackageURL-L419_L422,3486,1257869,30921,112,112,2787,151917,23,2,1,6474,335062,26155,2,1
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerKnownPosition-L88_L102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerPool-L77_L91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerPrintSeeds-L97_L111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peterbencze-serritor-158939359c0b0608686afd34bba582c9157dd362-WebDriverFactory-L96_L104,4083,798033,43286,65,20,2918,1627301,75,71,4,6622,413605,43765,69,3
PeterisP-morphology-1195adb7bb994292e5b06f2b20f4feb6191ca951-Mijas-L767_L774,4302,225019,136822,11,3,2995,773376,77,12,1,7231,569146,138959,2,1
pfmiles-min-velocity-4e8ec4f64681c1d6941bf8d90a51849e87b86cf5-ParserTokenManager-L4456_L4460,3669,959034,48979,17,4,2418,161360,18,11,1,6689,252593,48150,12,2
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-StringInspector-L418_L424,2573,222202,79843,138,9,2030,148813,21,25,2,5530,258273,63334,37,5
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-StringInspector-L453_L463,2560,171433,223497,247,12,2035,151322,23,43,3,5524,403991,198628,144,7
PlayPen-playpen-core-dd867086481d93a439cb0270eaa7272bacf75493-FileProcessListener-L40_L45,6300,824804,30999,65,60,4240,168530,23,7,1,7441,377274,29932,33,2
PlayPen-playpen-core-dd867086481d93a439cb0270eaa7272bacf75493-FileProcessListener-L54_L59,6441,788593,31475,73,59,4268,172179,23,12,1,7452,176194,29273,12,1
PlayPen-playpen-core-dd867086481d93a439cb0270eaa7272bacf75493-Network-L376_L383,6350,834513,37652,32,18,4319,1443181,45,23,1,9356,308123,36467,7,1
