project,parallel_core,parallel_generation,parallel_reduction,parallel_before_tests,parallel_after_tests,coverage_core,coverage_generation,coverage_reduction,coverage_before_tests,coverage_after_tests,mutation_core,mutation_generation,mutation_reduction,mutation_before_tests,mutation_after_tests
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RestHandler-L142_L147,7077,294348,35782,17,15,4535,1340048,41,19,1,8530,735419,36928,30,1
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PdfDocument-L1568_L1578,6453,965788,85861,127,8,4144,1315132,40,138,3,9238,572575,82177,31,3
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PdfDocument-L578_L585,6293,947178,239461,233,21,4083,2273184,66,225,3,9238,505388,110875,18,4
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PRTokeniser-L442_L457,6467,1014438,105454,79,16,3987,304028,19,32,2,8521,466638,106836,56,6
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PushbuttonField-L520_L529,6318,240956,67273,18,10,4007,205420,23,10,3,8588,247014,67495,10,5
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-PluginManager-L226_L231,5055,149655,0,0,0,3338,809223,6,0,0,6901,200588,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-Hessian2Input-L2594_L2600,3803,961409,120310,8,4,2588,2031473,38,9,1,6588,446458,81740,4,1
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-HessianDebugState-L588_L595,3786,249122,28581,1,1,2569,559610,23,2,0,8953,40939,0,0,0
AwakenCN-InChat-329de8bc3042b49aeaeb816d38b56e9de4226049-NettyBootstrapServer-L98_L104,2464,614535,25813,1,1,2054,1359060,36,3,0,5337,336744,26467,1,1
axelhjalm-bitwig-midi-fighter-twister-a1ad3eecd81353437619818f3a0cf4db0519194b-VolumesPage-L55_L60,3125,853745,47645,141,9,2591,1629516,37,141,2,5231,452867,35873,38,2
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-ProxyClient-L174_L183,2448,965158,42350,178,3,2168,1769887,32,186,1,5577,326647,27380,1,1
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-idMatX-L5969_L5984,9399,636460,20566,0,0,6522,394574,68,0,0,12243,649087,17496,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Parser-L2344_L2368,9530,243023,0,0,0,6644,608794,7,0,0,8569,49400,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Codec-L269_L281,9295,634492,255466,106,6,6654,1531447,31,106,2,11603,792593,260892,106,3
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-snd_world-L1522_L1526,9383,635210,0,0,0,6632,1399770,7,0,0,11055,215218,0,0,0
cacfd3a-java-nfa-646a76c291253614abc5708107dee7b4387ca784-NFA-L101_L103,2763,163925,23915,1,1,2252,880998,48,4,0,7750,340459,24385,1,1
cellsrg-tabbypdf-def8bb08e7733a9b87e593cb5363ef82581628c1-PdfDataExtractor-L101_L106,4090,1056760,0,0,0,2817,1727467,8,0,0,8461,208649,0,0,0
cellsrg-tabbypdf-def8bb08e7733a9b87e593cb5363ef82581628c1-TableRegionDetector-L254_L257,4026,938884,0,0,0,2819,1627509,6,0,0,8609,208426,0,0,0
codelibs-jcifs-c9ad4eeaf763ad764cb485c4149a0b236eaa7d3e-SmbSessionImpl-L898_L902,6248,1091956,35545,21,20,4204,2819933,42,46,2,8484,837559,39198,33,2
codelibs-jcifs-c9ad4eeaf763ad764cb485c4149a0b236eaa7d3e-SmbSessionImpl-L949_L955,6314,1019411,32998,13,5,4137,1931709,34,8,1,8473,463139,37051,7,1
dakusui-jcunit-5e081ae71f7e1ab8326aed77612a97c983c9dc06-IpoGplus-L201_L201,5332,451687,0,0,0,3477,1292558,9,0,0,9079,146509,0,0,0
dakusui-jcunit-5e081ae71f7e1ab8326aed77612a97c983c9dc06-Joiner-L322_L327,5316,150385,0,0,0,3498,446942,5,0,0,5639,41626,0,0,0
delthas-JavaMP3-8b42e48a549813b43c99db9fef525286c888a082-Decoder-L648_L660,2808,1174949,326717,242,9,2179,158485,23,25,2,6987,651715,166281,144,3
graphstream-gs-core-950b87280075f92a85b564b47ce6522ced5ba53a-GraphDiff-L203_L210,5611,186791,0,0,0,3502,563184,7,0,0,11457,56287,0,0,0
graphstream-gs-core-950b87280075f92a85b564b47ce6522ced5ba53a-GraphDiff-L214_L215,5709,186439,0,0,0,3519,562144,11,0,0,11425,56416,0,0,0
HelixNetwork-pendulum-919ae1df7ca4359aad6b9a4575beb9d3ca4de8ef-RocksDBPersistenceProvider-L295_L302,6766,593123,32645,5,5,4262,1445909,46,8,1,6555,362644,33169,4,1
inversoft-restify-8522579dded221db5c3822274ecd11a2b6426082-FormDataBodyHandler-L156_L162,2652,1135552,24582,1,1,2093,2224726,67,7,0,5343,219083,25285,1,1
iris-edu-stationxml-seed-converter-7526c0b8fd214af02a767142d97638e7bc129dd9-SeedToXmlDocumentConverter-L129_L135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JoonasVali-jartin-d54d145b05666c9e5661fd27ab4c128eb05f1c9f-Stamp-L67_L71,2528,131800,0,0,0,2155,369161,15,1,0,4779,38593,0,0,0
redis-lettuce-761d60247159662ce1db8bc20318bc4b573bc010-StatefulRedisConnectionImpl-L203_L214,35533,1737125,90461,1,1,25094,2686665,30,1,0,18110,866970,91187,1,1
LHNCBC-metamaplite-3eac19c131c1c24c16a8e279d171c3747bd1fc76-MetaMapLite-L1588_L1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L270_L317,3536,878469,882011,155,88,2450,1915902,59,145,4,8709,1277102,841881,119,5
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-SimpleTaggerWithConstraints-L439_L445,19574,726918,88016,2,2,15988,1490779,31,3,1,20084,341245,88905,1,1
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-Vectors2Classify-L268_L274,19837,818733,95763,3,3,15999,2146920,34,3,1,20349,800074,99741,2,1
msemys-esjc-2953c0bbdb6192502a786f47873aed8ab0ef9c93-EventStoreTcp-L867_L868,6594,983725,0,0,0,4050,1711322,6,0,0,12003,224696,0,0,0
msemys-esjc-2953c0bbdb6192502a786f47873aed8ab0ef9c93-IdentificationHandler-L91_L92,6723,963404,28204,9,4,3995,1846966,39,7,1,7606,175225,28250,1,1
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-MathProcessor-L350_L364,7882,223505,36537,16,8,4845,466982,29,17,3,6180,46851,0,0,0
pmlopes-aws-lambda-native-vertx-46ebe9755ea5c0f8473db95e21dc7d0c556ad230-LambdaBootstrap-L119_L127,2121,74562,0,0,0,1831,288450,8,0,0,6977,38433,0,0,0
remondis-it-pact-consumer-builder-4350f58d646d7aade31dc1caed7fb380b9cd143e-ConsumerBuilderImpl-L241_L242,5193,77862,0,0,0,3734,328614,8,0,0,6164,11456,0,0,0
streamx-co-ExTree-2cb6b78c0eb4dc25fa81f582641b5464779a93fa-Interpreter-L383_L420,4944,201757,0,0,0,3477,383162,7,0,0,5429,39823,0,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L809_L811,9681,183008,0,0,0,6517,495233,8,0,0,11729,14883,0,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L815_L820,9492,637152,37595,15,15,6548,1289195,33,7,2,11101,409670,37944,9,1
SvenEwald-xmlbeam-84a2a91c216622c611a948d88792c846b532aa0a-ExpressionTypeEvaluationVisitor-L136_L152,0,0,0,0,0,3597,414099,17,1,0,5382,42768,0,0,0
swtcpro-jingtum-lib-java-793e75b9d350ae7385551191bf0b75b307d05354-Remote-L537_L545,3596,467960,33715,49,49,3150,1409571,33,56,1,6849,359120,37805,14,1
toolbox4minecraft-amidst-86ffd6004a3ab2a88b9325de420a596665f0df75-FragmentQueueProcessor-L69_L75,5133,1604879,33081,60,38,3268,1609203,23,49,2,6472,1981831,34441,53,2
vert-x3-vertx-docgen-ec8245f872ba95ca8fdf967edba001fd841cdc35-BaseProcessor-L169_L172,2627,881813,0,0,0,2239,1311764,8,0,0,7703,40639,0,0,0
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-DataFrame-L1780_L1782,6077,622035,27281,1,1,3772,1394600,40,3,0,7391,385339,27891,1,1
walmartlabs-gozer-694f2cd0e3341dd2d4eaf61467ef9f91881ddb4d-X12TransactionSplitter-L234_L234,5876,1106901,63080,59,58,33937,166457,17,3,1,8478,311687,62369,5,1
yinlou-mltk-f50c42986fdd016e7da38d5e381ed24d8fe87e41-Visualizer-L123_L139,4465,181575,43273,1,1,2910,505930,18,1,0,6449,42124,0,0,0
