project,EXTs_time_all,EXTs_time_success,CONs_time_all,CONs_time_success,EXTr_time_all,EXTr_time_success,CONc_time_all,CONc_time_success,CONrc_time_all,CONrc_time_success,INd_time_all,INd_time_success,INs_time_all,INs_time_success,INr_time_all,INr_time_success
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1841_L1850,172834,173399,198504,198982,129361,129848,35922,0,634282,0,46897,47192,226634,0,93824,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1895_L1912,181668,182158,79506,0,124705,125229,33596,0,634197,0,39907,0,226515,0,94283,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1975_L2002,190378,190858,177150,177658,130655,131138,36105,0,634209,0,54504,54759,975857,976138,96745,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L521_L539,189185,189671,174300,0,132708,133223,215288,0,634191,0,39960,0,232965,0,94778,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L2611_L2627,124378,0,277593,278121,167911,168451,49882,0,654285,0,63126,0,141248,0,112372,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L3663_L3671,257585,258105,265410,265923,168639,169174,49872,0,655586,0,63600,0,146919,0,112730,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L4496_L4505,137486,0,249960,250493,166846,167380,49238,0,653351,0,61941,0,140793,0,111832,0
tvesalainen-bcc-8bfbb307418a422d57370b2df12fdfb1126f3407-ByteCodeDump-L428_L437,177569,178071,172780,0,131688,132177,39644,0,1061473,1062002,42771,0,169336,0,100511,0
uber-common-jvm-profiler-07ecfce5bbae89cae1415296d4c6eb7cdd7b7dfa-DatadogOutputReporter-L43_L49,30383,0,40096,0,33813,0,30698,0,959706,0,40197,0,33020,0,33767,0
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1895_L1900,183365,183926,78298,78864,125151,125666,44223,0,985159,0,48345,0,217715,217997,44351,0
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1927_L1931,183526,184098,81519,82079,125434,125953,45321,0,1013441,0,49077,0,202290,0,45182,0
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1941_L1946,184690,185243,80035,80556,126136,126640,45284,0,993571,0,49343,0,223267,223549,45585,0
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Evidence-L259_L263,170720,171244,157232,157708,107655,108193,33377,0,843079,843635,45920,46252,163704,0,102370,0
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Evidence-L267_L267,167401,167928,113270,113779,101369,101897,31903,0,875558,876070,44181,44537,161775,0,99204,0
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Table-L40_L51,170637,171151,179449,179942,197962,198480,31617,0,875988,876513,49085,49382,167272,0,98889,0
vincentrussell-java-ini-parser-954dd3836aa39dd170202f95e356da1eb86c894d-Ini-L153_L156,165770,166264,174030,0,98747,99234,29949,0,95415,0,46485,46757,173962,0,98024,0
vizor-games-infraworld-cornerstone-2f8c792393fd8bbfc09d5bfdd36114230f64aa5c-CastGenerator-L242_L252,282051,282545,184401,184944,104317,104896,38822,0,614652,0,41470,0,40018,0,38083,0
vizor-games-infraworld-cornerstone-2f8c792393fd8bbfc09d5bfdd36114230f64aa5c-NestedTypesRemover-L117_L128,170617,171106,185218,185757,103357,103889,34011,0,269382,0,45336,0,169405,0,101606,0
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-DoubleFormatter-L33_L42,36911,0,37159,0,37087,0,37060,0,37103,0,62603,62918,51747,0,153086,153374
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-LongFormatter-L33_L43,36381,0,36696,0,36950,0,36744,0,36910,0,62116,62432,51545,0,136831,137131
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-KeyMapper-L62_L62,183583,184114,152816,153327,98982,0,34669,0,1099540,1100063,50038,50314,181979,0,38570,0
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-MetaDataParser-L126_L134,189349,189854,183111,183604,98371,0,39423,0,916885,0,52890,53173,234584,234867,38614,0
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-Validator-L154_L160,193070,193598,180779,181269,100596,0,34669,0,997294,997852,51032,51296,168519,0,96924,0
