project,all_mutants,smackEvo_mutants_killed,kex_mutants_killed,smackRC_mutants_killed,jdart_mutants_killed,jdoop_mutants_killed,exliDev_mutants_killed,exliEvo_mutants_killed,exliRC_mutants_killed
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImage-L954_L966,30,28,29,15,0,11,0,0,0
ATLANTBH-owl-f808feae5b021ce37e7a937ab03bf3327be386ad-ServicesUtils-L47_L51,5,3,3,2,0,2,0,3,0
attoparser-attoparser-e1049dcd8261fe315b679029e711a9f5ea03f1cc-MarkupSelectorItems-L148_L149,10,10,6,10,7,0,10,10,0
attoparser-attoparser-e1049dcd8261fe315b679029e711a9f5ea03f1cc-MarkupSelectorItems-L249_L255,19,0,0,0,0,0,12,0,0
attoparser-attoparser-e1049dcd8261fe315b679029e711a9f5ea03f1cc-MarkupSelectorItems-L407_L417,29,29,13,19,0,0,12,10,0
awslabs-aws-glue-catalog-sync-agent-for-hive-2ba77e5718c5b1988e711fac37966b40665bc385-HiveGlueCatalogSyncAgent-L371_L383,16,4,2,2,0,0,0,0,0
awslabs-aws-glue-catalog-sync-agent-for-hive-2ba77e5718c5b1988e711fac37966b40665bc385-HiveGlueCatalogSyncAgent-L408_L426,17,4,2,2,0,0,0,0,0
Azure-azure-functions-java-worker-c92d38cdeb867f2f7e2ae9b2515c32c2ecfd1e41-BindingDataStore-L104_L104,1,1,1,0,0,0,0,0,0
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-ProxyClient-L246_L254,14,3,0,3,0,3,0,0,0
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-Proxy-L346_L349,4,4,0,2,0,2,0,0,0
ben-xo-cdjscrobbler-921fe5394227f1f602174b7c8935697904128d53-UpdateListener-L99_L109,5,0,0,0,0,0,0,0,0
bkatwal-kafka-solr-sink-connector-f0d022607f3d5419053bfb0c87a710fb37e00896-PlainJsonDocMappersImpl-L103_L108,9,8,8,7,0,0,0,0,0
bkatwal-kafka-solr-sink-connector-f0d022607f3d5419053bfb0c87a710fb37e00896-SolrServiceImpl-L139_L144,9,8,8,7,0,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-AASReach-L542_L546,43,41,3,3,0,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-AASReach-L575_L587,82,76,64,57,0,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-EditWindow-L287_L300,55,0,2,2,2,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Model_lwo-L2980_L2997,154,145,140,146,140,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Simd_Generic-L1286_L1294,137,61,81,10,0,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Simd_Generic-L1308_L1316,333,31,17,10,0,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Window-L1599_L1604,26,23,21,21,5,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Window-L1660_L1666,35,21,20,21,20,0,0,0,0
Blazemeter-xtn5250-240e00411e0c21995e87f5a36dd0f6fee2929af8-XI5250CrtFrame-L158_L165,10,8,8,8,0,0,0,0,0
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-Bootstrap-L598_L604,50,29,15,15,0,0,0,23,0
casbin-jcasbin-eb7f93118e4f6d93e44cd779ce17a2f5f2d81387-Model-L332_L336,36,32,30,27,0,0,0,0,0
cellsrg-tabbypdf-def8bb08e7733a9b87e593cb5363ef82581628c1-TableRegionDetector-L92_L95,2,2,1,2,0,2,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-CCSecurity-L101_L113,6,3,0,0,0,0,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-SecurityConfigItemValidator-L37_L40,5,3,3,3,0,0,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-SecurityConfigItemValidator-L49_L52,14,12,11,12,0,0,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-ZkClusterService-L131_L138,3,1,0,0,0,0,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-ZkClusterService-L186_L196,12,2,2,0,0,0,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-ZkClusterService-L225_L229,2,2,0,0,0,0,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-ZkClusterService-L253_L257,2,2,0,0,0,0,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-ZkClusterService-L287_L294,3,1,0,0,0,0,0,0,0
codeine-cd-codeine-355463b17c671925bc8bd3951dabb98a150dfe36-HealthServlet-L32_L37,10,4,1,0,0,0,0,0,0
