project,new events,unique new events,new events in fragment,unique new events in fragment,new traces,unique new traces,new traces with events in fragment,unique new traces with events in fragment,new violations,new unique violation,new violations in fragment,new unique violation in fragment
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-Glyphs-L655_L679,148,40,88,1,40,10,1,1,3,1,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-Glyphs-L655_L707,55165,194,252,7,4649,43,6,6,12,2,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageImplRegistry-L328_L342,636,142,186,2,104,19,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageIOTIFFImageWriter-L109_L119,86,32,45,2,29,15,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageLoaderRawJPEG-L223_L257,755,48,18,1,48,29,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageManager-L187_L197,4711,145,63,1,135,50,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageWriterRegistry-L147_L155,18184,221,13553,5,105,45,3,3,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-ImageWriterRegistry-L148_L154,5155,81,2990,2,70,26,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-MemoryCacheSeekableStream-L232_L237,0,0,0,0,0,0,0,0,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-NamedColorProfileParser-L103_L139,284,130,126,61,126,14,61,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-NamedColorSpace-L95_L101,22,15,22,2,15,4,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGFile-L197_L208,249,84,108,3,89,32,3,3,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGFile-L227_L254,287,47,17,2,52,25,2,2,0,0,0,0
