original,url,id,status,type
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImage.java#L216C6-L231C43,https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImage.java#L216-L231,apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImage-L216_L231,,block
https://github.com/STEMLab/JIneditor/blob/ccca7bec12fe58583d25da0d13ae038b27d34424/src/main/java/edu/pnu/gui/CanvasPanel.java#L401C1-L417C18,https://github.com/STEMLab/JIneditor/blob/ccca7bec12fe58583d25da0d13ae038b27d34424/src/main/java/edu/pnu/gui/CanvasPanel.java#L401-L417,STEMLab-JIneditor-ccca7bec12fe58583d25da0d13ae038b27d34424-CanvasPanel-L401_L417,,block
https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/plugins/tiff/TIFFDecompressor.java#L1143C1-L1152C22,https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/plugins/tiff/TIFFDecompressor.java#L1143-L1152,jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFDecompressor-L1143_L1152,,block
https://github.com/streamx-co/ExTree/blob/2cb6b78c0eb4dc25fa81f582641b5464779a93fa/src/main/java/co/streamx/fluent/extree/expression/ExpressionMethodVisitor.java#L435C1-L437C94,https://github.com/streamx-co/ExTree/blob/2cb6b78c0eb4dc25fa81f582641b5464779a93fa/src/main/java/co/streamx/fluent/extree/expression/ExpressionMethodVisitor.java#L435-L437,streamx-co-ExTree-2cb6b78c0eb4dc25fa81f582641b5464779a93fa-ExpressionMethodVisitor-L435_L437,,block
https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L118C1-L137C25,https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L118-L138,meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L118_L138,,block
https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L238C6-L255C18,https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L238-L255,meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L238_L255,,block
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImageEncoder.java#L448C1-L454C18,https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImageEncoder.java#L448-L454,apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImageEncoder-L448_L454,,block
https://github.com/jruby/jcodings/blob/4eb6216f88f2b4ce80b555cc58e3f86e88b72c86/src/org/jcodings/transcode/Transcoding.java#L231C14-L245C30,https://github.com/jruby/jcodings/blob/4eb6216f88f2b4ce80b555cc58e3f86e88b72c86/src/org/jcodings/transcode/Transcoding.java#L231-L245,jruby-jcodings-4eb6216f88f2b4ce80b555cc58e3f86e88b72c86-Transcoding-L231_L245,,block
https://github.com/mvel/mvel/blob/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/optimizers/impl/asm/ASMAccessorOptimizer.java#L1833C1-L1842C10,https://github.com/mvel/mvel/blob/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/optimizers/impl/asm/ASMAccessorOptimizer.java#L1833-L1842,mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-ASMAccessorOptimizer-L1833_L1842,,block
https://github.com/mvel/mvel/blob/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/optimizers/impl/asm/ASMAccessorOptimizer.java#L1991C1-L1996C48,https://github.com/mvel/mvel/blob/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/optimizers/impl/asm/ASMAccessorOptimizer.java#L1991-L1996,mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-ASMAccessorOptimizer-L1991_L1996,,block
https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/impl/plugins/tiff/TIFFImageWriter.java#L1762C3-L1767C36,https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/impl/plugins/tiff/TIFFImageWriter.java#L1762-L1767,jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFImageWriter-L1762_L1767,,block
https://github.com/tommyettinger/RegExodus/blob/48a8167a5dc1e381fc741fabd425965a22aa1503/src/main/java/regexodus/CharacterClass.java#L507C1-L519C30,https://github.com/tommyettinger/RegExodus/blob/48a8167a5dc1e381fc741fabd425965a22aa1503/src/main/java/regexodus/CharacterClass.java#L507-L519,tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass-L507_L519,,block
