fragment,covered,total
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-DataType-L1023_L1033,1,2
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L395_L406,8,8
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L431_L442,8,8
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L460_L471,8,8
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L497_L508,8,8
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L592_L607,10,10
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L631_L642,8,8
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L660_L671,8,8
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L697_L708,8,8
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1650_L1653,2,2
apache-commons-codec-634ac7caba17b3610e8fe3dd19f9f05faf4d1f94-Rule-L532_L533,1,4
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-FormatUtil-L1099_L1102,1,2
jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-FormatUtil-L1091_L1092,1,2
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerPool-L77_L91,5,6
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-SelectPlan-L292_L298,1,4
toolbox4minecraft-amidst-86ffd6004a3ab2a88b9325de420a596665f0df75-FragmentQueueProcessor-L69_L75,3,4
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler-L176_L181,2,2
inversoft-restify-8522579dded221db5c3822274ecd11a2b6426082-FormDataBodyHandler-L156_L162,8,8
domclick-kafka-logback-91d21ace796dd29ef953b86fcd7ebe55f43ca58d-KafkaAppender-L95_L104,4,4
MarkShen1992-Mashibing_High_Concurrency-f408144caf72de0391f6e271eec6b92021ab1ca4-TicketSeller2-L26_L34,2,2
stupid1t-poi-excel-7f1834f1e0fa91bed24591ee43e89d95ec39de98-PoiResult-L80_L88,4,4
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-MetaDataParser-L126_L134,2,6
